// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="C:\Users\ytara\source\repos\CoffeeShop\CoffeeBenchMark\bin\Release\net10.0\CoffeeBenchMark-DefaultJob-1/" /p:OutDir="C:\Users\ytara\source\repos\CoffeeShop\CoffeeBenchMark\bin\Release\net10.0\CoffeeBenchMark-DefaultJob-1\bin\Release\net10.0/" /p:OutputPath="C:\Users\ytara\source\repos\CoffeeShop\CoffeeBenchMark\bin\Release\net10.0\CoffeeBenchMark-DefaultJob-1\bin\Release\net10.0/" /p:PublishDir="C:\Users\ytara\source\repos\CoffeeShop\CoffeeBenchMark\bin\Release\net10.0\CoffeeBenchMark-DefaultJob-1\publish/" in C:\Users\ytara\source\repos\CoffeeShop\CoffeeBenchMark\bin\Release\net10.0\CoffeeBenchMark-DefaultJob-1
// command took 4.85 sec and exited with 0
// start dotnet  build -c Release --no-restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="C:\Users\ytara\source\repos\CoffeeShop\CoffeeBenchMark\bin\Release\net10.0\CoffeeBenchMark-DefaultJob-1/" /p:OutDir="C:\Users\ytara\source\repos\CoffeeShop\CoffeeBenchMark\bin\Release\net10.0\CoffeeBenchMark-DefaultJob-1\bin\Release\net10.0/" /p:OutputPath="C:\Users\ytara\source\repos\CoffeeShop\CoffeeBenchMark\bin\Release\net10.0\CoffeeBenchMark-DefaultJob-1\bin\Release\net10.0/" /p:PublishDir="C:\Users\ytara\source\repos\CoffeeShop\CoffeeBenchMark\bin\Release\net10.0\CoffeeBenchMark-DefaultJob-1\publish/" --output "C:\Users\ytara\source\repos\CoffeeShop\CoffeeBenchMark\bin\Release\net10.0\CoffeeBenchMark-DefaultJob-1\bin\Release\net10.0/" in C:\Users\ytara\source\repos\CoffeeShop\CoffeeBenchMark\bin\Release\net10.0\CoffeeBenchMark-DefaultJob-1
// command took 13.23 sec and exited with 0
// ***** Done, took 00:00:18 (18.5 sec)   *****
// Found 2 benchmarks:
//   CoffeeBench.UseSplit: DefaultJob
//   CoffeeBench.UseSpan: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: CoffeeBench.UseSplit: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet CoffeeBenchMark-DefaultJob-1.dll --anonymousPipes 712 1560 --benchmarkName CoffeeBench.UseSplit --job Default --benchmarkId 0 in C:\Users\ytara\source\repos\CoffeeShop\CoffeeBenchMark\bin\Release\net10.0\CoffeeBenchMark-DefaultJob-1\bin\Release\net10.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 10.0.6 (10.0.6, 10.0.626.17701), X64 RyuJIT x86-64-v3
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2+BMI1+BMI2+F16C+FMA+LZCNT+MOVBE,AVX,SSE3+SSSE3+SSE4.1+SSE4.2+POPCNT,X86Base+SSE+SSE2,AES+PCLMUL VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 671500.00 ns, 671.5000 us/op
WorkloadJitting  1: 1 op, 598700.00 ns, 598.7000 us/op

OverheadJitting  2: 16 op, 1766700.00 ns, 110.4188 us/op
WorkloadJitting  2: 16 op, 1739600.00 ns, 108.7250 us/op

WorkloadPilot    1: 16 op, 7900.00 ns, 493.7500 ns/op
WorkloadPilot    2: 32 op, 30200.00 ns, 943.7500 ns/op
WorkloadPilot    3: 64 op, 34300.00 ns, 535.9375 ns/op
WorkloadPilot    4: 128 op, 59700.00 ns, 466.4063 ns/op
WorkloadPilot    5: 256 op, 175800.00 ns, 686.7188 ns/op
WorkloadPilot    6: 512 op, 177900.00 ns, 347.4609 ns/op
WorkloadPilot    7: 1024 op, 325200.00 ns, 317.5781 ns/op
WorkloadPilot    8: 2048 op, 649300.00 ns, 317.0410 ns/op
WorkloadPilot    9: 4096 op, 1156900.00 ns, 282.4463 ns/op
WorkloadPilot   10: 8192 op, 3667400.00 ns, 447.6807 ns/op
WorkloadPilot   11: 16384 op, 5173300.00 ns, 315.7532 ns/op
WorkloadPilot   12: 32768 op, 7239100.00 ns, 220.9198 ns/op
WorkloadPilot   13: 65536 op, 18354600.00 ns, 280.0690 ns/op
WorkloadPilot   14: 131072 op, 22814800.00 ns, 174.0631 ns/op
WorkloadPilot   15: 262144 op, 38400700.00 ns, 146.4870 ns/op
WorkloadPilot   16: 524288 op, 76401900.00 ns, 145.7251 ns/op
WorkloadPilot   17: 1048576 op, 89771100.00 ns, 85.6124 ns/op
WorkloadPilot   18: 2097152 op, 151847500.00 ns, 72.4065 ns/op
WorkloadPilot   19: 4194304 op, 270848800.00 ns, 64.5754 ns/op
WorkloadPilot   20: 8388608 op, 558609100.00 ns, 66.5914 ns/op

OverheadWarmup   1: 8388608 op, 46398400.00 ns, 5.5311 ns/op
OverheadWarmup   2: 8388608 op, 45283900.00 ns, 5.3983 ns/op
OverheadWarmup   3: 8388608 op, 44205000.00 ns, 5.2696 ns/op
OverheadWarmup   4: 8388608 op, 46803700.00 ns, 5.5794 ns/op
OverheadWarmup   5: 8388608 op, 46144400.00 ns, 5.5008 ns/op
OverheadWarmup   6: 8388608 op, 43220500.00 ns, 5.1523 ns/op
OverheadWarmup   7: 8388608 op, 43900700.00 ns, 5.2334 ns/op
OverheadWarmup   8: 8388608 op, 40566400.00 ns, 4.8359 ns/op

OverheadActual   1: 8388608 op, 39337300.00 ns, 4.6894 ns/op
OverheadActual   2: 8388608 op, 38178700.00 ns, 4.5513 ns/op
OverheadActual   3: 8388608 op, 38256700.00 ns, 4.5606 ns/op
OverheadActual   4: 8388608 op, 47994200.00 ns, 5.7214 ns/op
OverheadActual   5: 8388608 op, 41694200.00 ns, 4.9703 ns/op
OverheadActual   6: 8388608 op, 44641200.00 ns, 5.3216 ns/op
OverheadActual   7: 8388608 op, 43416900.00 ns, 5.1757 ns/op
OverheadActual   8: 8388608 op, 51612800.00 ns, 6.1527 ns/op
OverheadActual   9: 8388608 op, 45139200.00 ns, 5.3810 ns/op
OverheadActual  10: 8388608 op, 48467000.00 ns, 5.7777 ns/op
OverheadActual  11: 8388608 op, 46460900.00 ns, 5.5386 ns/op
OverheadActual  12: 8388608 op, 45312100.00 ns, 5.4016 ns/op
OverheadActual  13: 8388608 op, 47208000.00 ns, 5.6276 ns/op
OverheadActual  14: 8388608 op, 43013500.00 ns, 5.1276 ns/op
OverheadActual  15: 8388608 op, 42155600.00 ns, 5.0253 ns/op
OverheadActual  16: 8388608 op, 41244100.00 ns, 4.9167 ns/op
OverheadActual  17: 8388608 op, 39406500.00 ns, 4.6976 ns/op
OverheadActual  18: 8388608 op, 39150800.00 ns, 4.6671 ns/op
OverheadActual  19: 8388608 op, 38216300.00 ns, 4.5557 ns/op
OverheadActual  20: 8388608 op, 37411200.00 ns, 4.4598 ns/op

WorkloadWarmup   1: 8388608 op, 631031900.00 ns, 75.2249 ns/op
WorkloadWarmup   2: 8388608 op, 521665900.00 ns, 62.1874 ns/op
WorkloadWarmup   3: 8388608 op, 567479100.00 ns, 67.6488 ns/op
WorkloadWarmup   4: 8388608 op, 523361300.00 ns, 62.3895 ns/op
WorkloadWarmup   5: 8388608 op, 557322500.00 ns, 66.4380 ns/op
WorkloadWarmup   6: 8388608 op, 533405100.00 ns, 63.5868 ns/op

// BeforeActualRun
WorkloadActual   1: 8388608 op, 529312500.00 ns, 63.0990 ns/op
WorkloadActual   2: 8388608 op, 558147600.00 ns, 66.5364 ns/op
WorkloadActual   3: 8388608 op, 508552200.00 ns, 60.6241 ns/op
WorkloadActual   4: 8388608 op, 510948500.00 ns, 60.9098 ns/op
WorkloadActual   5: 8388608 op, 514413000.00 ns, 61.3228 ns/op
WorkloadActual   6: 8388608 op, 574091800.00 ns, 68.4371 ns/op
WorkloadActual   7: 8388608 op, 504961000.00 ns, 60.1960 ns/op
WorkloadActual   8: 8388608 op, 515548500.00 ns, 61.4582 ns/op
WorkloadActual   9: 8388608 op, 479699400.00 ns, 57.1846 ns/op
WorkloadActual  10: 8388608 op, 538866500.00 ns, 64.2379 ns/op
WorkloadActual  11: 8388608 op, 490244700.00 ns, 58.4417 ns/op
WorkloadActual  12: 8388608 op, 510941400.00 ns, 60.9090 ns/op
WorkloadActual  13: 8388608 op, 473757200.00 ns, 56.4763 ns/op
WorkloadActual  14: 8388608 op, 545193800.00 ns, 64.9922 ns/op
WorkloadActual  15: 8388608 op, 516528900.00 ns, 61.5750 ns/op
WorkloadActual  16: 8388608 op, 560808900.00 ns, 66.8536 ns/op
WorkloadActual  17: 8388608 op, 558903000.00 ns, 66.6264 ns/op
WorkloadActual  18: 8388608 op, 695593200.00 ns, 82.9212 ns/op
WorkloadActual  19: 8388608 op, 540833800.00 ns, 64.4724 ns/op
WorkloadActual  20: 8388608 op, 516843200.00 ns, 61.6125 ns/op
WorkloadActual  21: 8388608 op, 704464300.00 ns, 83.9787 ns/op
WorkloadActual  22: 8388608 op, 970531200.00 ns, 115.6963 ns/op
WorkloadActual  23: 8388608 op, 528136300.00 ns, 62.9588 ns/op
WorkloadActual  24: 8388608 op, 583551100.00 ns, 69.5647 ns/op
WorkloadActual  25: 8388608 op, 729265300.00 ns, 86.9352 ns/op
WorkloadActual  26: 8388608 op, 555772000.00 ns, 66.2532 ns/op
WorkloadActual  27: 8388608 op, 587844100.00 ns, 70.0765 ns/op
WorkloadActual  28: 8388608 op, 589255600.00 ns, 70.2447 ns/op
WorkloadActual  29: 8388608 op, 548226500.00 ns, 65.3537 ns/op
WorkloadActual  30: 8388608 op, 516566000.00 ns, 61.5795 ns/op
WorkloadActual  31: 8388608 op, 542797100.00 ns, 64.7065 ns/op
WorkloadActual  32: 8388608 op, 535275700.00 ns, 63.8098 ns/op
WorkloadActual  33: 8388608 op, 543463300.00 ns, 64.7859 ns/op
WorkloadActual  34: 8388608 op, 497570700.00 ns, 59.3150 ns/op
WorkloadActual  35: 8388608 op, 538438200.00 ns, 64.1868 ns/op
WorkloadActual  36: 8388608 op, 541251200.00 ns, 64.5222 ns/op
WorkloadActual  37: 8388608 op, 521731300.00 ns, 62.1952 ns/op
WorkloadActual  38: 8388608 op, 491724900.00 ns, 58.6182 ns/op
WorkloadActual  39: 8388608 op, 515659700.00 ns, 61.4714 ns/op
WorkloadActual  40: 8388608 op, 555372200.00 ns, 66.2055 ns/op
WorkloadActual  41: 8388608 op, 533197200.00 ns, 63.5621 ns/op
WorkloadActual  42: 8388608 op, 507963500.00 ns, 60.5540 ns/op
WorkloadActual  43: 8388608 op, 522806200.00 ns, 62.3234 ns/op
WorkloadActual  44: 8388608 op, 538344600.00 ns, 64.1757 ns/op
WorkloadActual  45: 8388608 op, 513389300.00 ns, 61.2008 ns/op
WorkloadActual  46: 8388608 op, 497502000.00 ns, 59.3069 ns/op
WorkloadActual  47: 8388608 op, 498627500.00 ns, 59.4410 ns/op
WorkloadActual  48: 8388608 op, 536406000.00 ns, 63.9446 ns/op
WorkloadActual  49: 8388608 op, 525289500.00 ns, 62.6194 ns/op
WorkloadActual  50: 8388608 op, 518182400.00 ns, 61.7722 ns/op
WorkloadActual  51: 8388608 op, 503965700.00 ns, 60.0774 ns/op
WorkloadActual  52: 8388608 op, 523055500.00 ns, 62.3531 ns/op
WorkloadActual  53: 8388608 op, 546814300.00 ns, 65.1853 ns/op
WorkloadActual  54: 8388608 op, 576924200.00 ns, 68.7747 ns/op
WorkloadActual  55: 8388608 op, 519598600.00 ns, 61.9410 ns/op
WorkloadActual  56: 8388608 op, 518285900.00 ns, 61.7845 ns/op
WorkloadActual  57: 8388608 op, 528475800.00 ns, 62.9992 ns/op
WorkloadActual  58: 8388608 op, 501327000.00 ns, 59.7628 ns/op
WorkloadActual  59: 8388608 op, 482218100.00 ns, 57.4849 ns/op
WorkloadActual  60: 8388608 op, 523182200.00 ns, 62.3682 ns/op
WorkloadActual  61: 8388608 op, 525245700.00 ns, 62.6142 ns/op
WorkloadActual  62: 8388608 op, 520154900.00 ns, 62.0073 ns/op
WorkloadActual  63: 8388608 op, 503778800.00 ns, 60.0551 ns/op
WorkloadActual  64: 8388608 op, 543546500.00 ns, 64.7958 ns/op
WorkloadActual  65: 8388608 op, 654626700.00 ns, 78.0376 ns/op
WorkloadActual  66: 8388608 op, 635623700.00 ns, 75.7722 ns/op
WorkloadActual  67: 8388608 op, 684675800.00 ns, 81.6197 ns/op
WorkloadActual  68: 8388608 op, 723233000.00 ns, 86.2161 ns/op
WorkloadActual  69: 8388608 op, 699360800.00 ns, 83.3703 ns/op
WorkloadActual  70: 8388608 op, 694886500.00 ns, 82.8369 ns/op
WorkloadActual  71: 8388608 op, 716982100.00 ns, 85.4709 ns/op
WorkloadActual  72: 8388608 op, 1008809200.00 ns, 120.2594 ns/op
WorkloadActual  73: 8388608 op, 770427500.00 ns, 91.8421 ns/op
WorkloadActual  74: 8388608 op, 716906300.00 ns, 85.4619 ns/op
WorkloadActual  75: 8388608 op, 548767400.00 ns, 65.4182 ns/op
WorkloadActual  76: 8388608 op, 491904100.00 ns, 58.6395 ns/op
WorkloadActual  77: 8388608 op, 524726000.00 ns, 62.5522 ns/op
WorkloadActual  78: 8388608 op, 527191900.00 ns, 62.8462 ns/op
